app_id,number_of_downloads,standard,standard_reason
1,500K+,Good Standard,"The privacy policy of AI Chat is classified as Good Standard based on the GDPR Article 5 definitions.
1. Lawfulness, Fairness, and Transparency: The policy clearly states that they are committed to the users' right to privacy and their policy on data protection and collection. The language used in the policy is simple and clear.
2. Purpose Limitation: The policy clearly defines the purposes for collecting data, such as improving user app experience and complying with legal obligations.
3. Data Minimization: The policy emphasizes collecting only necessary and mostly anonymous data for improving the app's services. Individual user's identity, email and telephone number are collected only where necessary, like on contacting support.
4. Accuracy: The policy encourages users to update their personal data, ensuring accuracy.
5. Storage Limitation: The policy states a clear retention period of not more than 12 months for the user's personal data. Data is deleted or anonymised after the purpose has been fulfilled.
6. Integrity and Confidentiality: The privacy policy assures the use of industry-standard security measures such as encryption to protect user data."
2,500K+,Bad Standard,"While the privacy policy provided provides some clarity on data collection and handling, it lacks significant elements for a Good Standard Assessment. For instance:
- Purpose Limitation: The policy mentions data is used for improving the service but doesn't specify the exact purposes for which the data will be used, violating the Purpose Limitation guideline.
- Data Minimization: It does not explicitly ensure data minimization. There are no clear guidelines on the limitations of data collection.
- Accuracy: There are no mechanisms mentioned ensuring the accuracy of data or allowing the users to correct their data.
- Storage Limitation: No details are provided about the time period for data storage, deletion, or anonymization process after the intended use.
- Integrity and Confidentiality: Despite the statement about valuing personal information, the policy does not clarify the specific security measures, like encryption or regular security assessments, that are put in place for data protection."
3,500K+,Bad Standard,"The policy fails to meet several key points required for a Good Standard. Specific sections of concern include:
- Lawfulness, Fairness, and Transparency: The policy does not state its legal basis for data processing, nor does it articulate clearly how users' data is used.
- Purpose Limitation: No clear definition or limitation on the purposes for data collection is provided.
- Data Minimization: The policy does not specify that it collects only the necessary data.
- Accuracy: No measures are specified to ensure accuracy of data, or mechanisms for users to update or correct their data.
- Storage Limitation: The policy does not mention how long data is retained for, nor the process for data deletion.
- Integrity and Confidentiality: The document does not provide any adequate security measures to protect data such as encryption or regular security assessments.
The policy only mentions a commitment to the privacy of users' information, but this is too vague and lacks specific measures taken to ensure data privacy and security."
4,100K+,Bad Standard,"The policy does not meet several key aspects of the Good Standard Assessment. Although it does mention a commitment to protecting user data under the 'Security' section, it lacks specifics about what measures are taken, nor does it mention practices like encryption and regular security assessments. Furthermore, the policy fails to clearly define the purposes of data collection and does not mention data minimization. It also does not provide a clear retention period or processes for data deletion or anonymization or mechanisms for users to update or correct their data. Lastly, the policy does not clearly state the legal basis for data processing."
5,100K+,Good Standard,"The privacy policy of NAVIEMU PTE.LTD complies with the Good Standard assessment as follows:
1. Lawfulness, Fairness, and Transparency: The policy clearly articulates its data collection purposes, types of data collected, and uses of data. It's written in clear language, making it easy for users to understand. This is shown throughout the policy, notably in the sections 'Personal Information We Collect From You' and 'Our Use of Personal Information'.
2. Purpose Limitation: The policy limits data collection and use to the stated purposes such as improving services, communication with users, etc., referenced in the sections 'Our Use of Personal Information' and 'Our Sharing of Personal Information'.
3. Data Minimization: The policy states that it collects only the necessary data relevant to its services, as exemplified in the section 'Personal Information We Collect From You'.
4. Accuracy: The policy allows users to update their data by requesting a copy or deletion, shown under 'Your Rights and Choices Regarding Your Data' and 'EU Data Subjects'.
5. Storage Limitation: The policy specifies it will retain personal information only as long as necessary for the defined purposes or required by law, covered under 'Our Use of Personal Information'.
6. Integrity and Confidentiality: The policy articulates the usage of security measures to protect user data as highlighted in 'Security of Your Personal Information'. However, it doesn’t explicitly mention practices like encryption or regular security assessments.
While the policy meets most of the GDPR Article 5 requirements, the lack of detail about specific security measures such as encryption and regular security assessments is a gap and could be improved to fully meet the Good Standard Assessment."
6,100K+,Bad Standard,"The reasons are:
1. Transparency: Though the policy states the type of information collected, it didn't clearly state its legal basis for data processing, violates the lawfulness and fairness requirement.
2. Purpose Limitation: The policy allows MixerBox™ to share, sell, rent, lease or otherwise provide personal information to any third-party for any purposes permitted by law instead of clear defined purposes, which violates the purpose limitation requirement.
3. Data Minimization: The policy collects a range of user data including full name, email address, mailing address, date of birth, gender, and more. This suggests data minimization principle is breached.
4. Accuracy: The policy allows users to request updates or corrections to their data, but does not describe how the company itself ensures data accuracy.
5. Storage Limitation: The policy fails to define clear retention periods of the data, it also doesn't provide a process for data deletion or anonymization after the purpose is fulfilled.
6. Integrity and Confidentiality: The policy indicates that they have security measures in place to protect user data, but they cannot guarantee that these measures will be 100% secure. This suggests a lack of adequate security measures."
7,100K+,Good Standard,"The privacy policy outlined clearly states its lawful basis for data processing: the user's explicit consent, in accordance with GDPR's lawfulness, fairness, and transparency principle. Necessary data collection is outlined, covering device information and user interactions with specifications on when this information is acquired, demonstrating data minimization. The stated purposes of data use are also comprehensive, thus complying with the purpose limitation principle.
Furthermore, the policy highlights efforts at data accuracy, through user-driven data update and correction, along with noting storage limitations in the anonymization of user data after insights are gleaned. On the security front, the privacy policy does not explicitly mention encryption or security assessments, but commitments to protecting and respecting user data suggest a dedication to data integrity and confidentiality.
Critique could be made on the point of storage limitation, as the policy doesn't define a clear retention period or state a formal process for data deletion. To achieve full alignment with GDPR standards, the policy must be explicit about these aspects. Nonetheless, overall, the policy leans towards Good Standard."
8,100K+,Bad Standard,"The policy lacks detail and clarity in certain areas. Although it partially addresses lawfulness, fairness, and transparency with simple language, it does not clearly state the legal basis for processing the data. The policy also fails on the aspect of purpose limitation, as it does not narrow down the specific purposes for the data collection. The data minimization and accuracy principle is not mentioned, thereby no measures have been stated to ensure data accuracy or the possibility for users to correct or update their data. There is also no mention of storage limitation, data retention periods, or criteria for such periods as well as the process of data deletion or anonymization. Lastly, regarding Integrity and Confidentiality, though it mentioned some security measures, it lacks detail and is vague about the specifics of those measures."
9,100K+,Good Standard,"The privacy policy of SuperGPT meets the standards as it covers all the key aspects according to GDPR Article 5:
- Lawfulness, Fairness, and Transparency: The policy provides upfront and clear information about the types of data collected and the reasons for collecting such data. It ensures that users know and understand what is happening with their information when using the app.
- Purpose Limitation: The policy lists down the specific uses of the collected information such as improving the app, analyzing user behavior, developing new features, etc.
- Data Minimization: This can be seen where they collect only the required information such as contact details, information provided during direct communication, and through permissions such as access to the microphone for specific purposes like voice commands.
- Accuracy: There is provision for accuracy of data with mechanisms for users to request access to their data and correct inaccuracies.
- Storage Limitation: Although specific retention periods are not mentioned, procedures are in place for users to request erasure of their data under certain conditions.
- Integrity and Confidentiality: They are attempting to ensure data security through using standard app practices and prioritizing privacy. Consent of the user is clearly stressed upon throughout the policy, indicating a commitment to protecting user data."
10,100K+,Good Standard,"The privacy policy document provided by the application is of Good Standard. It provides clear and transparent information about how the user’s data is processed and it ensures that data is not used for any incompatible purposes without additional consent. It also specifies that it collects only necessary data, and ensures that users have the ability to update and correct their data. The policy also defines clear retention periods and processes for data deletion, further ensuring data minimization and storage limitation. The policy employs sound security practices, including encryption, to maintain the integrity and confidentiality of user data. There are clear measures in place to handle data breaches and notify affected individuals in a timely manner. Furthermore, it incorporates regular assessment of data accuracy and impartiality and provides acceptable recourse for complaints and disputes. For these reasons, the policy meets the criteria defined in the GDPR Article 5 and thus, is of Good Standard."
